,userID,date,Hour,Minute,wpkg,grade
196,U1000004,2022-11-17,19,39,3.6015716666666666,3.900000000000001
197,U1000004,2022-11-17,19,40,0.914645,-3.719166666666666
198,U1000004,2022-11-17,19,41,2.360581666666666,0.7048333333333329
199,U1000004,2022-11-17,19,42,1.4353633333333329,-2.829833333333333
200,U1000004,2022-11-17,19,43,3.1806300000000003,1.2256666666666673
201,U1000004,2022-11-17,19,44,1.5655383333333337,-1.5711666666666666
202,U1000004,2022-11-17,19,45,1.4765750000000002,-3.8278333333333334
203,U1000004,2022-11-17,19,46,3.7099149999999987,9.878333333333327
204,U1000004,2022-11-17,19,47,3.28806,8.420333333333332
205,U1000004,2022-11-17,19,48,1.865763333333333,2.8283333333333327
206,U1000004,2022-11-17,19,49,2.458784999999999,-0.6611666666666668
207,U1000004,2022-11-17,19,50,1.9610333333333334,0.22233333333333333
208,U1000004,2022-11-17,19,51,3.0531549999999994,3.2764999999999995
209,U1000004,2022-11-17,19,52,2.931984999999999,0.9081666666666668
210,U1000004,2022-11-17,19,53,1.54414,-6.532999999999999
211,U1000004,2022-11-17,19,54,3.3472983333333346,-2.4538333333333333
212,U1000004,2022-11-17,19,55,2.846620000000001,-1.7671666666666672
213,U1000004,2022-11-17,19,56,2.331973333333334,-2.556
214,U1000004,2022-11-17,19,57,3.274776666666666,-0.11933333333333337
215,U1000004,2022-11-17,19,58,2.7308533333333336,-0.24166666666666667
216,U1000004,2022-11-17,19,59,3.0727516666666674,-0.05516666666666667
217,U1000004,2022-11-17,20,0,2.5900883333333327,-0.5986666666666666
218,U1000004,2022-11-17,20,1,2.482661666666666,0.004666666666666666
219,U1000004,2022-11-17,20,4,2.452255,-0.0335
220,U1000004,2022-11-17,20,6,2.631311666666666,-0.22633333333333333
221,U1000004,2022-11-17,20,7,2.6482,-0.18433333333333332
222,U1000004,2022-11-17,20,8,1.7612599999999998,0.19683333333333336
223,U1000004,2022-11-17,20,11,2.8986499999999995,-0.12766666666666662
224,U1000004,2022-11-17,20,15,2.8056350000000005,-0.06133333333333333
225,U1000004,2022-11-17,20,16,2.6574300000000006,-0.1610000000000001
226,U1000004,2022-11-17,20,17,2.9083333333333328,0.04683333333333333
227,U1000004,2022-11-17,20,18,1.9259033333333344,0.9313333333333325
228,U1000004,2022-11-17,20,19,0.7175666666666667,-0.23433333333333323
229,U1000010,2022-11-19,5,35,0.5569783333333336,0.8958333333333331
230,U1000010,2022-11-19,5,36,1.1139600000000003,0.3225
231,U1000010,2022-11-19,5,37,0.6707333333333335,-0.4761666666666666
232,U1000010,2022-11-19,5,38,0.6515549999999999,0.15333333333333332
233,U1000010,2022-11-19,5,39,0.8271333333333333,0.5261666666666666
234,U1000010,2022-11-19,5,40,0.5108533333333333,-1.8156666666666665
235,U1000010,2022-11-19,5,41,0.875578333333333,1.2816666666666665
236,U1000010,2022-11-19,5,42,0.804655,-0.21383333333333357
237,U1000010,2022-11-19,5,43,1.7519383333333332,2.4788333333333337
238,U1000010,2022-11-19,5,44,0.45988333333333337,-1.3426666666666665
239,U1000010,2022-11-19,5,45,1.4166616666666663,0.3640000000000001
240,U1000010,2022-11-19,5,48,1.6930266666666665,0.04333333333333354
241,U1000010,2022-11-19,5,49,1.3810066666666665,0.34616666666666673
242,U1000010,2022-11-19,5,50,2.1604700000000006,1.2011666666666667
243,U1000010,2022-11-19,5,51,2.1133700000000006,2.692333333333334
244,U1000010,2022-11-19,5,52,1.3963183333333336,1.932833333333334
