,indexvalue,userID,date,Hour,Minute,distance_per_minute,enhanced_speed,power,wpkg,FTP_perct,cadence,grade,enhanced_altitude,hear_rate,max_heart_rate_perct
53,53,U1000000,2022-11-19,7,25,0.6017,36.10176,202.5666666666666,2.532083333333333,0.6729833333333333,78.98333333333335,0.0,9.123333333333322,158.49999999999991,0.8347316666666668
54,54,U1000000,2022-11-19,7,26,0.6975,41.85047999999999,288.1833333333332,3.6022916666666656,0.9574166666666665,91.85,0.0,9.799999999999999,165.5,0.8715949999999999
55,55,U1000000,2022-11-19,7,27,0.6572,39.4317,175.14999999999998,2.189375,0.5818833333333334,77.66666666666669,0.0,10.010000000000002,166.35000000000005,0.876065
56,56,U1000000,2022-11-19,7,28,0.539,32.340120000000006,340.3333333333333,4.254166666666667,1.1306766666666663,84.20000000000002,0.0,10.19999999999999,152.5,0.80313
57,57,U1000000,2022-11-19,7,29,0.6892,41.349000000000004,224.4166666666667,2.8052083333333333,0.7455683333333334,81.36666666666667,0.0,10.263333333333318,167.34999999999997,0.8813516666666665
58,58,U1000000,2022-11-19,7,30,0.7285,43.707719999999995,213.28333333333333,2.6660416666666666,0.7085766666666665,89.3,0.0,10.336666666666643,167.11666666666673,0.8801233333333334
59,59,U1000000,2022-11-19,7,31,0.7315,43.891859999999994,191.5,2.3937499999999994,0.6362166666666668,82.31666666666669,0.0,9.713333333333331,164.24999999999991,0.8650066666666666
60,60,U1000000,2022-11-19,7,32,0.532,31.919639999999994,169.75000000000003,2.121875,0.5639483333333334,68.24999999999997,0.0,9.80999999999999,159.79999999999998,0.8415816666666666
61,61,U1000000,2022-11-19,7,33,0.6362,38.17073076923079,352.2115384615385,4.402644230769229,1.1701365384615385,91.55769230769232,0.0,9.7923076923077,159.38461538461542,0.8393807692307691
62,62,U1000000,2022-11-19,7,34,0.7272,43.632720000000006,209.29999999999998,2.6162499999999995,0.6953499999999999,90.38333333333333,0.0,10.586666666666675,169.7333333333333,0.8938816666666668
63,63,U1000000,2022-11-19,7,35,0.7119,42.71334,201.58333333333334,2.519791666666667,0.6697149999999998,86.56666666666668,0.0,10.560000000000015,164.59999999999997,0.8668516666666669
64,64,U1000000,2022-11-19,7,36,0.7476,44.85528000000001,213.1666666666666,2.6645833333333333,0.7081983333333333,84.68333333333332,0.0,9.826666666666679,160.1166666666667,0.843245
65,65,U1000000,2022-11-19,7,37,0.6946,41.677739999999986,263.4166666666667,3.292708333333333,0.8751383333333334,80.41666666666666,0.0,9.069999999999995,158.11666666666662,0.8327183333333334
66,66,U1000000,2022-11-19,7,38,0.5365,32.189699999999995,239.49999999999997,2.9937500000000004,0.79568,66.60000000000001,0.0,8.910000000000005,166.6,0.877395
67,67,U1000000,2022-11-19,7,39,0.7257,43.54140000000002,257.89999999999986,3.223749999999999,0.856815,92.70000000000002,0.0,9.13999999999999,170.29999999999995,0.8968866666666666
68,68,U1000000,2022-11-19,7,40,0.7143,42.860580000000006,221.3666666666667,2.767083333333333,0.7354433333333333,85.23333333333335,0.0,9.39333333333334,166.8166666666667,0.8785333333333334
69,69,U1000000,2022-11-19,7,41,0.7104,42.62358,200.50000000000003,2.50625,0.6661066666666667,88.38333333333334,0.0,10.043333333333319,162.98333333333332,0.8583366666666667
70,70,U1000000,2022-11-19,7,42,0.6895,41.37197999999999,214.74999999999997,2.684374999999999,0.7134566666666664,85.38333333333331,0.0,11.78666666666667,160.34999999999994,0.8444883333333333
71,71,U1000000,2022-11-19,7,43,0.6152,36.91332,190.5333333333333,2.3816666666666664,0.6330016666666666,77.36666666666666,0.0,12.096666666666694,154.79999999999995,0.8152500000000003
72,72,U1000000,2022-11-19,7,44,0.7139,42.8328,252.7,3.158749999999999,0.8395349999999999,97.51666666666667,-0.17966666666666672,13.153333333333336,168.31666666666666,0.8864366666666663
73,73,U1000000,2022-11-19,7,45,0.7598,45.587460000000014,164.68333333333328,2.0585416666666667,0.5471150000000001,87.01666666666667,-0.2276666666666666,10.48,166.39999999999998,0.8763383333333334
74,74,U1000000,2022-11-19,7,46,0.5294,31.763759999999994,359.9166666666668,4.498958333333334,1.1957349999999995,88.23333333333336,3.0545000000000004,16.439999999999998,165.95000000000002,0.8739683333333335
75,75,U1000000,2022-11-19,7,47,0.3216,19.29503999999999,410.3166666666665,5.128958333333336,1.3631733333333342,89.60000000000001,6.978833333333334,42.87,179.5666666666666,0.9456899999999998
76,76,U1000000,2022-11-19,7,48,0.5313,31.875359999999997,270.8333333333333,3.3854166666666665,0.8997783333333336,97.08333333333334,1.2109999999999996,55.66999999999998,183.23333333333335,0.9649883333333334
77,77,U1000000,2022-11-19,7,49,0.7409,44.45238,236.43333333333334,2.955416666666667,0.7854916666666666,96.28333333333335,-1.5824999999999998,49.23,175.7833333333334,0.9257666666666666
78,78,U1000000,2022-11-19,7,50,0.6479,38.87304,317.3666666666667,3.967083333333334,1.05438,100.01666666666668,0.6843333333333333,39.96666666666667,172.0,0.9058416666666668
79,79,U1000000,2022-11-19,7,51,0.4783,28.695600000000002,327.86666666666673,4.098333333333334,1.089256666666667,94.71666666666667,2.381333333333333,51.763333333333335,176.33333333333337,0.9286466666666666
80,80,U1000000,2022-11-19,7,52,0.5235,31.41288,265.04999999999984,3.313125000000001,0.8805666666666665,93.8333333333333,1.0450000000000004,63.17333333333333,179.96666666666667,0.9477983333333331
81,81,U1000000,2022-11-19,7,53,0.4418,26.510160000000003,354.2666666666666,4.428333333333332,1.1769583333333336,95.23333333333333,3.404166666666667,68.44666666666667,178.65000000000003,0.9408499999999999
82,82,U1000000,2022-11-19,7,54,0.3694,22.165920000000003,262.7333333333333,3.284166666666666,0.8728716666666668,89.23333333333332,2.9400000000000004,84.45666666666666,179.49999999999997,0.9453499999999999
83,83,U1000000,2022-11-19,7,55,0.404,24.24264,297.4333333333333,3.7179166666666674,0.9881449999999999,90.83333333333331,2.614666666666667,94.23666666666668,175.29999999999998,0.9232166666666668
84,84,U1000000,2022-11-19,7,56,0.4614,27.683926530612247,178.63265306122446,2.2329081632653063,0.5934591836734691,77.10204081632652,0.24428571428571422,102.88163265306123,176.2244897959184,0.9280836734693877
85,85,U1000000,2022-11-19,7,57,0.5442,32.653980000000004,195.96666666666667,2.449583333333334,0.6510566666666666,83.85000000000004,-0.5335,97.22,161.33333333333331,0.8496500000000001
