,Unnamed: 0,indexnum,userID,sessionID,step,enhanced_speed,power,wpkg,FTP_perct,cadence,grade,max_heart_rate_perct
2369,2369,2369,U1000000,s_131,69.0,42.62358,200.5,2.50625,0.666106667,88.38333333,0.0,0.858336667
2370,2370,2370,U1000000,s_131,70.0,41.37198,214.75,2.684375,0.713456667,85.38333333,0.0,0.844488333
2371,2371,2371,U1000000,s_131,71.0,36.91332,190.5333333,2.381666667,0.633001667,77.36666667,0.0,0.81525
2372,2372,2372,U1000000,s_131,72.0,42.8328,252.7,3.15875,0.839535,97.51666667,-0.179666667,0.886436667
2373,2373,2373,U1000000,s_131,73.0,45.58746,164.6833333,2.058541667,0.547115,87.01666667,-0.227666667,0.876338333
2374,2374,2374,U1000000,s_131,74.0,31.76376,359.9166667,4.498958333,1.195735,88.23333333,3.0545,0.873968333
2375,2375,2375,U1000000,s_131,75.0,19.29504,410.3166667,5.128958333,1.363173333,89.6,6.978833333,0.94569
2376,2376,2376,U1000000,s_131,76.0,31.87536,270.8333333,3.385416667,0.899778333,97.08333333,1.211,0.964988333
2377,2377,2377,U1000000,s_131,77.0,44.45238,236.4333333,2.955416667,0.785491667,96.28333333,-1.5825,0.925766667
2378,2378,2378,U1000000,s_131,78.0,38.87304,317.3666667,3.967083333,1.05438,100.0166667,0.684333333,0.905841667
2379,2379,2379,U1000000,s_131,79.0,28.6956,327.8666667,4.098333333,1.089256667,94.71666667,2.381333333,0.928646667
2380,2380,2380,U1000000,s_131,80.0,31.41288,265.05,3.313125,0.880566667,93.83333333,1.045,0.947798333
2381,2381,2381,U1000000,s_131,81.0,26.51016,354.2666667,4.428333333,1.176958333,95.23333333,3.404166667,0.94085
2382,2382,2382,U1000000,s_131,82.0,22.16592,262.7333333,3.284166667,0.872871667,89.23333333,2.94,0.94535
2383,2383,2383,U1000000,s_131,83.0,24.24264,297.4333333,3.717916667,0.988145,90.83333333,2.614666667,0.923216667
2384,2384,2384,U1000000,s_131,84.0,27.68392653,178.6326531,2.232908163,0.593459184,77.10204082,0.244285714,0.928083673
2385,2385,2385,U1000000,s_131,85.0,32.65398,195.9666667,2.449583333,0.651056667,83.85,-0.5335,0.84965
2386,2386,2386,U1000000,s_131,86.0,40.53216,141.6,1.77,0.470431667,64.8,-2.112666667,0.80147
2387,2387,2387,U1000000,s_131,87.0,27.55549091,195.4848485,2.443560606,0.649448485,69.48484848,-0.467272727,0.738890909
2388,2388,2388,U1000000,s_131,88.0,36.35976,270.2,3.3775,0.897688333,86.6,0.070833333,0.834293333
2389,2389,2389,U1000000,s_131,89.0,34.6902,215.7833333,2.697291667,0.716895,89.08333333,0.920833333,0.894955
2390,2390,2390,U1000000,s_131,90.0,46.34843478,145.6521739,1.820652174,0.4839,78.76086957,-2.20173913,0.850197826
2391,2391,2391,U1000000,s_131,91.0,36.68868679,344.0566038,4.300707547,1.143039623,94.24528302,0.938679245,0.820762264
2392,2392,2392,U1000000,s_131,92.0,34.70592,198.8,2.485,0.660463333,86.13333333,0.826,0.901968333
2393,2393,2393,U1000000,s_131,93.0,55.15872,278.2666667,3.478333333,0.92447,86.81666667,-4.0245,0.85194
2394,2394,2394,U1000000,s_131,94.0,42.32628,192.4166667,2.405208333,0.639258333,86.36666667,-0.066,0.868168333
2395,2395,2395,U1000000,s_131,95.0,26.71902,106.1666667,1.327083333,0.352711667,67.66666667,0.465166667,0.806818333
2396,2396,2396,U1000000,s_131,96.0,29.85012,149.4166667,1.867708333,0.4964,77.51666667,0.0235,0.760128333
2397,2397,2397,U1000000,s_131,97.0,19.10194839,27.48387097,0.343548387,0.091303226,48.74193548,0.0,0.718445161
2398,2398,2398,U1000000,s_131,98.0,19.21425,169.4583333,2.118229167,0.5629875,67.04166667,0.0,0.6499625
2399,2399,2399,U1000000,s_131,99.0,35.8899,185.0833333,2.313541667,0.614898333,86.65,0.0,0.75476
2400,2400,2400,U1000000,s_131,100.0,41.66586,177.85,2.223125,0.59087,86.5,0.0,0.786891667
2401,2401,2401,U1000000,s_131,101.0,43.94238,200.4666667,2.505833333,0.666,78.1,0.0,0.811201667
2402,2402,2402,U1000000,s_131,102.0,43.27596,188.2166667,2.352708333,0.625306667,83.55,0.0,0.80436
2403,2403,2403,U1000000,s_131,103.0,27.19787586,89.9137931,1.123922414,0.298706897,61.94827586,0.0,0.760541379
2404,2404,2404,U1000000,s_131,104.0,36.30624,226.1,2.82625,0.751158333,77.23333333,0.0,0.801206667
2405,2405,2405,U1000000,s_131,105.0,46.40976,318.8833333,3.986041667,1.059406667,95.81666667,0.0,0.852636667
2406,2406,2406,U1000000,s_131,106.0,47.90934,257.8833333,3.223541667,0.856755,92.46666667,0.0,0.878351667
2407,2407,2407,U1000000,s_131,107.0,45.15516,210.35,2.629375,0.698838333,89.23333333,0.0,0.848945
2408,2408,2408,U1000000,s_131,108.0,46.14162,209.0833333,2.613541667,0.694636667,85.46666667,0.0,0.82789
2409,2409,2409,U1000000,s_131,109.0,46.58208,271.1166667,3.388958333,0.900716667,89.06666667,0.0,0.837805
2410,2410,2410,U1000000,s_131,110.0,43.80306,294.25,3.678125,0.977573333,84.25,0.0,0.879943333
2411,2411,2411,U1000000,s_131,111.0,30.20718,224.0833333,2.801041667,0.744461667,82.05,0.0,0.847978333
2412,2412,2412,U1000000,s_131,112.0,35.4306,249.8333333,3.122916667,0.83,91.0,0.0,0.8584
