,userID,date,Hour,Minute,wpkg_3,enhanced_speed_3
83,U1000003,2022-11-19,6,42,3.450205,13.7382
84,U1000003,2022-11-19,6,43,3.4971116666666666,20.039399999999997
85,U1000004,2022-11-19,6,43,4.061256666666667,25.55718
86,U1000010,2022-11-19,6,43,2.9937950000000004,16.053000000000004
87,U1000010,2022-11-19,6,44,1.2495419999999993,12.031343999999999
88,U1000003,2022-11-19,6,45,3.8718066666666675,25.701900000000002
89,U1000004,2022-11-19,6,45,6.068693333333332,28.43274
90,U1000003,2022-11-19,6,47,4.381681666666667,25.249500000000005
91,U1000003,2022-11-19,6,48,1.8227055555555565,15.645100000000005
92,U1000010,2022-11-19,6,56,2.743993333333332,19.17954
93,U1000010,2022-11-19,6,57,1.2405016666666666,14.08632
94,U1000003,2022-11-19,6,59,3.513990000000001,28.155659999999997
95,U1000004,2022-11-19,6,59,3.5463999999999976,28.755600000000005
96,U1000003,2022-11-19,7,16,5.091566666666665,21.576659999999997
97,U1000004,2022-11-19,7,16,3.940315000000002,15.760200000000001
98,U1000010,2022-11-19,7,16,3.4213216666666675,14.415479999999997
99,U1000000,2022-11-19,7,46,4.498958333333334,31.763759999999994
100,U1000000,2022-11-19,7,47,5.128958333333336,19.29503999999999
101,U1000003,2022-11-19,7,48,3.0541099999999997,23.574
102,U1000004,2022-11-19,7,48,2.9725233333333336,24.263999999999996
103,U1000004,2022-11-19,7,49,2.4680200000000005,22.43592
104,U1000000,2022-11-19,7,51,4.098333333333334,28.695600000000002
105,U1000000,2022-11-19,7,53,4.428333333333332,26.510160000000003
106,U1000003,2022-11-19,7,53,3.402466666666666,24.25254
107,U1000004,2022-11-19,7,53,3.182656666666667,24.729600000000005
108,U1000000,2022-11-19,7,54,3.284166666666666,22.165920000000003
109,U1000003,2022-11-19,7,54,3.8849850000000004,12.6465
110,U1000004,2022-11-19,7,54,3.741441666666666,12.310619999999998
111,U1000000,2022-11-19,7,55,3.7179166666666674,24.24264
112,U1000003,2022-11-19,7,55,3.3786033333333325,10.804439999999998
113,U1000004,2022-11-19,7,55,3.909461666666667,13.6341
114,U1000003,2022-11-19,7,56,3.529220000000001,14.24838
115,U1000004,2022-11-19,7,56,4.31802,17.448299999999996
116,U1000003,2022-11-19,7,57,3.322226666666666,15.511499999999998
117,U1000004,2022-11-19,7,57,3.674095,19.08846
118,U1000003,2022-11-19,7,58,3.2954683333333334,18.38478
119,U1000004,2022-11-19,7,58,3.6225249999999996,18.59076
120,U1000003,2022-11-19,7,59,3.3220183333333337,17.816940000000006
121,U1000004,2022-11-19,7,59,4.346846666666666,23.2386
122,U1000003,2022-11-19,8,0,2.809671666666667,19.10844000000001
123,U1000003,2022-11-19,8,3,2.647121666666666,23.607179999999996
124,U1000004,2022-11-19,8,3,2.773201666666666,23.764500000000005
125,U1000003,2022-11-19,8,4,4.339091666666667,15.4326
126,U1000004,2022-11-19,8,4,4.294596666666665,16.79376
127,U1000003,2022-11-19,8,5,4.201436666666666,14.51322
128,U1000004,2022-11-19,8,5,4.261486666666669,14.16288
129,U1000003,2022-11-19,8,7,4.381898333333335,28.20558000000001
130,U1000004,2022-11-19,8,8,5.726576666666666,27.976379999999995
131,U1000003,2022-11-19,8,9,4.5668733333333345,12.71826
132,U1000004,2022-11-19,8,9,3.6542783333333335,26.686319999999995
133,U1000003,2022-11-19,8,10,3.4997916666666664,23.22618
134,U1000004,2022-11-19,8,15,5.960131666666667,17.34702
135,U1000003,2022-11-19,8,16,4.1016483333333325,11.689920000000003
136,U1000003,2022-11-19,8,17,3.643411666666667,13.943519999999998
137,U1000004,2022-11-19,8,18,4.397973333333334,31.0869
138,U1000003,2022-11-19,8,20,3.7961859649122798,19.119978947368427
139,U1000010,2022-11-19,8,20,1.5587833333333332,8.923000000000002
140,U1000004,2022-11-19,9,24,3.3220716666666665,24.07098
141,U1000004,2022-11-19,9,28,4.121395000000001,26.282520000000005
