Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year
19690,Auto Modellista,Racing,E,XB,Capcom,Capcom,,,0.01,0.0,0.0,,0.0,2004.0
19691,The Idolm@ster Twins,Misc,,X360,Namco Bandai,Namco Bandai Games,,,0.01,,,0.01,,2009.0
19692,Zombie Shiki - Eigo Ryoku Sosei Jutsu: English of the Dead,Misc,,DS,Sega,Sega,,,0.01,,,0.01,,2008.0
19693,Duke Nukem Advance,Shooter,T,GBA,Take-Two Interactive,Torus Games,8.5,,0.01,0.0,0.0,,0.0,2002.0
19694,Oretachi ni Tsubasa wa Nai,Misc,,PSV,5pb,Unknown,,,0.01,,,0.01,,2014.0
19695,Winx Club: Saving Alfea,Action,,DS,Namco Bandai Games,Little Orbit,,,0.01,0.01,0.0,,0.0,2014.0
19696,Total War Collection,Strategy,,PC,Sega,The Creative Assembly,,,0.01,,0.01,,0.0,2012.0
19697,Bound By Flame,Action,M,PS3,Focus Home Interactive,Spiders,,,0.01,,0.01,,0.0,2014.0
19698,One Piece: Unlimited World Red Deluxe Edition,Action,T,PS4,Namco Bandai Games,Ganbarion,,,0.01,,,0.01,,2017.0
19699,Aggressive Inline,Sports,E,GBA,Acclaim Entertainment,Full-Fat,7.3,,0.01,0.0,0.0,,0.0,2002.0
19700,PW: Project Witch,Adventure,,PSP,GungHo,GungHo Works,,,0.01,,,0.01,,2009.0
19701,Summer Challenge: Athletics Tournament,Sports,,PC,PQube,DTP Entertainment,,,0.01,,0.01,,0.0,2011.0
19702,Build-a-lot,Simulation,E,DS,Mumbo Jumbo,HipSoft,,,0.01,0.01,0.0,,,2008.0
19703,Invizimals: The Resistance,Simulation,E10,PSV,Sony Computer Entertainment,Novarama,,,0.01,,0.0,,0.0,2015.0
19704,Ziggurat,Shooter,,XOne,Milkstone Studios,Milkstone Studios,,,0.01,,0.01,,0.0,2015.0
19705,Disciples III: Resurrection,Strategy,,PC,Kalypso,Akella,,,0.01,0.01,0.0,,0.0,2011.0
19706,Re: Vice[d],Adventure,,PSV,Idea Factory,Design Factory,,,0.01,,,0.01,,2014.0
19707,Dogz Fashion,Simulation,E,GBA,Ubisoft,MTO,,,0.01,0.0,0.0,,0.0,2006.0
19708,Gegege no Kitarou: Youkai Daiundoukai,Action,,Wii,Bandai,Bandai,,,0.01,,,0.01,,2007.0
19709,Hyper Fighters,Simulation,T,Wii,Zoo Games,Zoo Games,,,0.01,0.01,,,0.0,2011.0
19710,Kunio-kun: The World Classics Collection,Misc,,NS,Arc System Works,"Million Co., Ltd.",,,0.01,,,0.01,,2018.0
19711,Euro Fishing,Simulation,,PC,Unknown,Dovetail Games,,,0.01,,0.01,,0.0,2015.0
19712,Like Life Every Hour,Adventure,,PSP,GN Software,GN Software,,,0.01,,,0.01,,2009.0
19713,Dungeon Maker II: The Hidden War (JP sales),Role-Playing,E10,PSP,UFO Interactive,Global A Entertainment,,,0.01,,,0.01,,2008.0
19714,Kouekizaidan Houjin Nihon Kanji Nouryoku Kentei Kyoukai: Kanken Training,Misc,,3DS,Rocket Company,Rocket Company,,,0.01,,,0.01,,2014.0
19715,nail'd,Racing,E10,PC,Deep Silver,Techland,,,0.01,,0.01,,0.0,2010.0
19716,Warhammer: Mark of Chaos - Battle March,Strategy,M,PC,Namco Bandai,Black Hole Entertainment,,,0.01,,0.01,,0.0,2008.0
19717,Iwaihime: Matsuri,Adventure,,PSV,Nippon Ichi Software,Nippon Ichi Software,,,0.01,,,0.01,,2017.0
19718,Neopets Puzzle Adventure,Puzzle,E,PC,Capcom,Infinite Interactive,,,0.01,,0.0,,0.0,2008.0
19719,Ultimate Spider-Man,Action,T,PC,Activision,Beenox,,,0.01,0.01,,,0.0,2005.0
19720,Age of Empires,Strategy,T,PC,Microsoft,Ensemble Studios,,,0.01,0.01,,,0.0,1997.0
19721,Hyper Light Drifter,Role-Playing,,PS4,Rebellion Games,Rebellion Games,,,0.01,,,0.01,,2016.0
19722,Once Upon A Time,Misc,E,Wii,Storm City Games,Storm City Games,,,0.01,0.01,,,0.0,2010.0
19723,Tettelkaiseki Hissyou Pachislot Doujyho Yamasa & Pioneer,Misc,,PS,Hiromi,Hiromi,,,0.01,,,0.01,0.0,1998.0
19724,Closed Nightmare,Misc,,PS4,Nippon Ichi Software,Nippon Ichi Software,,,0.01,,,0.01,,2018.0
19725,Sengoku Hime 3: Tenka o Kirisaku Hikari to Kage,Misc,,PSP,SystemSoft,Unknown,,,0.01,,,0.01,,2012.0
19726,Teslagrad,Platform,,PS4,Rain Games,Rain Games,,,0.01,,0.01,,0.0,2014.0
19727,Hidamari Sketch: Doko Demo Sugoroku x 365,Misc,,DS,Idea Factory,Idea Factory,,,0.01,,,0.01,,2009.0
19728,th!nk Logic Trainer: Kids,Puzzle,E,DS,Conspiracy Entertainment,DTP Young Entertainment,,,0.01,0.01,,,0.0,2009.0
