step,distance,enhanced_speed,cadence,grade,max_heart_rate_perct,power
214,2.04965,30.7836,81,0,0.6975,3.0676
215,2.05821,30.726,81,0,0.6975,2.6216
216,2.06658,31.608,82,0,0.7028,2.5
217,2.07569,31.2084,81,0,0.7028,2.0946
218,2.08389,30.2472,82,0,0.7028,2.0946
219,2.09286,30.1248,83,0,0.7081,2.2027
220,2.10133,29.9196,82,0,0.7081,1.7297
221,2.11015,32.9256,83,0,0.7081,1.6081
222,2.11933,31.0428,84,0,0.7134,1.9865
223,2.1282,30.348,85,0,0.7081,2.1216
224,2.13682,32.5152,85,0,0.7081,2.1081
225,2.14616,32.4396,86,0,0.7134,2.4324
226,2.15501,31.5432,85,0,0.7134,2.0946
227,2.16425,30.888,85,-0.43,0.7134,1.7973
228,2.17305,31.662,84,-0.92,0.7134,1.7973
229,2.18189,30.2364,85,-0.87,0.7187,2
230,2.19063,31.302,85,-0.81,0.7187,2.2297
231,2.19958,31.2588,85,-0.75,0.7187,2.6622
232,2.20851,31.2588,83,-0.39,0.7187,2.7838
233,2.21747,31.1508,84,0,0.7187,2.9054
234,2.22682,31.1364,83,0,0.7134,3.0811
235,2.23529,30.1104,82,0,0.7134,3.1486
236,2.24326,28.9008,82,0,0.7134,2.8784
237,2.25079,25.7796,82,0,0.7134,2.6351
238,2.25785,26.4564,82,0,0.7134,2.7838
239,2.26505,25.8732,81,0,0.7134,2.9865
240,2.27389,29.3508,81,0,0.7134,3.0676
241,2.28258,31.3812,81,0,0.7134,3.5811
242,2.29166,30.924,81,0,0.7134,3.6216
243,2.30095,30.87,80,0,0.7134,3.5135
244,2.30919,29.448,79,0,0.7134,3.6081
245,2.31777,29.3724,78,0,0.7134,3.3514
246,2.32588,29.4228,78,0,0.7134,3.5946
247,2.33436,29.4048,77,0,0.7081,3.5
248,2.34281,29.5056,77,0.58,0.7081,3.3514
249,2.35206,29.7252,77,1.27,0.7081,3.2162
250,2.36126,31.8384,79,1.25,0.7028,2.973
251,2.37031,31.8528,80,1.15,0.7028,2.473
252,2.37934,31.9608,81,0.58,0.7028,1.8919
253,2.38818,32.5872,84,0,0.7028,1.527
254,2.39838,32.6412,84,0,0.6975,1.473
255,2.40745,33.5376,87,-0.18,0.6975,1.7027
256,2.41738,33.6636,87,-0.59,0.7028,1.6892
257,2.42745,34.4052,87,-1,0.7028,1.7297
