step,enhanced_speed,cadence,grade,enhanced_altitude,max_heart_rate_perct,power,power_prediction
99,35.8899,86.65,0.0,8.613333333,0.75476,2.313541667,2.753099318072389
100,41.66586,86.5,0.0,7.733333333,0.786891667,2.223125,2.831878527397103
101,43.94238,78.1,0.0,7.353333333,0.811201667,2.505833333,2.4884215716682463
102,43.27596,83.55,0.0,7.043333333,0.80436,2.352708333,2.7226846171957066
103,27.19787586,61.94827586,0.0,7.089655172,0.760541379,1.123922414,1.5106129744988062
104,36.30624,77.23333333,0.0,7.236666667,0.801206667,2.82625,2.336823169556148
105,46.40976,95.81666667,0.0,7.893333333,0.852636667,3.986041667,3.3286325007556132
106,47.90934,92.46666667,0.0,8.926666667,0.878351667,3.223541667,3.2051026265226095
107,45.15516,89.23333333,0.0,9.48,0.848945,2.629375,3.0173580102028636
108,46.14162,85.46666667,0.0,9.313333333,0.82789,2.613541667,2.859163884115436
109,46.58208,89.06666667,0.0,10.00666667,0.837805,3.388958333,3.030649721650376
110,43.80306,84.25,0.0,10.28,0.879943333,3.678125,2.7787754537701654
111,30.20718,82.05,0.0,9.6,0.847978333,2.801041667,2.4764373037431233
112,35.4306,91.0,0.0,7.7,0.8584,3.122916667,2.9520682669809974
