step,enhanced_speed,cadence,grade,enhanced_altitude,max_heart_rate_perct,power
178,27.1548,80,0,11,0.7478,2.0375
179,27.234,80,0,11,0.7426,1.975
180,27.27,80,0,11.2,0.7426,1.975
181,27.3204,80,0,11.2,0.7373,2.025
182,27.6768,80,0,11,0.7373,1.8125
183,27.594,80,0,11,0.7373,1.4875
184,27.63,80,0,11,0.7426,1.4
185,28.0512,80,0,11,0.7426,1.55
186,28.0836,80,0,11,0.7426,1.9125
187,28.4148,82,0,11,0.7426,2.2
188,28.3392,82,0,11,0.7478,2.2125
189,28.2636,83,0,10.8,0.7478,2.075
190,28.2852,83,0,10.8,0.7478,1.9625
191,28.152,83,0,10.8,0.7478,1.8875
192,28.2096,83,0,10.8,0.7478,1.8875
193,28.2024,83,0,10.8,0.7478,2.0375
194,28.5696,83,0,10.8,0.7478,2.025
195,28.2852,83,0,10.8,0.7426,1.85
196,28.2636,83,0,10.8,0.7426,1.7
197,28.3068,83,0,10.8,0.7426,1.6125
198,28.2528,83,0,10.8,0.7426,1.5625
199,28.332,80,0,10.8,0.7426,1.5875
200,27.684,80,0,10.8,0.7426,1.425
201,28.0548,80,0,10.8,0.7426,1.2875
202,27.936,80,0,10.8,0.7426,1.4375
203,27.8748,80,0,10.6,0.7426,1.7
204,27.936,80,0,10.6,0.7426,1.8875
205,27.9648,80,0,10.6,0.7478,1.925
206,27.9396,80,0,10.6,0.7478,1.725
207,27.936,80,0,10.6,0.7478,1.5375
208,27.9036,80,0,10.4,0.7478,1.5
209,27.3312,80,0,10.4,0.7478,1.4875
210,27.2988,80,0,10.4,0.7478,1.3625
211,27.18,80,0,10.4,0.7426,1.3125
212,26.8848,78,0,10.2,0.7426,1.4625
213,26.9172,77,0,10.4,0.7426,1.5
214,26.4636,60,0,10.4,0.7426,1.2125
215,26.064,34,0,10.4,0.7426,0.8625
216,25.2504,9,0,10.4,0.7426,0.525
217,24.7212,0,0,10.2,0.7426,0
218,24.2748,0,0,10.2,0.7426,0
219,23.6448,0,0,10.4,0.7426,0
220,23.0904,0,0,10.4,0.7373,0
221,22.68,0,0,10.4,0.7373,0
222,22.5828,0,0,10.4,0.7268,0
223,21.618,0,0,10.4,0.7215,0
224,20.8944,0,0,10.4,0.7215,0
225,20.4444,0,0,10.4,0.711,0
226,19.6164,0,0,10.4,0.7004,0
227,18.7452,0,0,10.4,0.6952,0
228,18.3492,0,0,10.4,0.6846,0
229,17.7552,14,0,10.6,0.6794,0
230,16.56,40,0,10.6,0.6794,0.0125
231,16.1316,43,0,10.6,0.6794,0.0125
232,16.0164,39,0,10.6,0.6794,0
233,14.7888,34,0,10.6,0.6794,0
234,14.4432,28,0,10.6,0.6794,0.0125
235,12.2328,22,0,10.8,0.6794,0.0125
236,11.196,36,0,10.8,0.6741,0.0125
237,9.792,37,0,10.6,0.6688,0
238,9.8244,28,0,10.6,0.6636,0
239,8.6796,20,0,10.6,0.6583,0
240,7.9668,27,0,10.6,0.653,0.0125
241,6.8868,25,0,10.6,0.653,0.0125
242,5.5332,15,0,10.6,0.6478,0.0125
243,0,5,0,10.6,0.6478,0.0125
244,11.7756,14,0,10.4,0.6478,0.3375
245,12.4848,48,0,10.4,0.653,1.45
246,13.9896,62,0,10.6,0.653,2.35
247,14.0364,63,0,10.6,0.6636,1.975
248,12.9204,63,0,10.6,0.6688,1.4875
249,12.5748,63,0,10.6,0.6688,1.0625
250,12.5892,48,0.04,10.6,0.6688,0.775
251,28.836,75,0,9.4,0.6952,6.1875
252,28.854,83,0,9.6,0.6952,6.625
253,28.1988,83,0,9.6,0.7004,4.4
254,28.926,83,0,9.4,0.7057,2.6375
255,28.314,83,0,9.4,0.7162,1.8625
256,28.6128,83,0,9.4,0.7215,1.45
257,28.1412,83,0,9.6,0.7268,1.675
258,28.2456,83,0,9.6,0.732,2.1375
259,28.2744,83,0,9.6,0.7426,2.35
260,28.7748,83,0,9.6,0.7478,2.55
