Recording_URL,Publicly_Shared,Already_Watched,Comments,Labels,Created,New___Returning,Hotjar_User_ID,Country,Action_Count,Page_Count,Duration__seconds_,Device,Device_Screen_Size,Browser,Operating_System,Referrer_URL,Landing_Page_URL,Exit_Page_URL,Rage_Clicked,U_Turned,Incoming_Feedback,Net_Promoter_Score__,Events
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/19/2023 15:07:05,New user,161687bb,KH,4,1,42,Phone,390 X 670,Safari,Ios,,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw__ihBhAREkEAysD4d77HqqyO0ExY4znLvDOSoSoQpGTddvfoPyNJeADwjqaOOUmNkiJ5TzTXwmeS9Ddaz978L6joOoxqbVoE7BoCtLM,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw__ihBhAREkEAysD4d77HqqyO0ExY4znLvDOSoSoQpGTddvfoPyNJeADwjqaOOUmNkiJ5TzTXwmeS9Ddaz978L6joOoxqbVoE7BoCtLM,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/7/2023 19:09:23,New user,b4f6eaec,IQ,18,1,138,Phone,390 X 670,Safari,Ios,,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw27mhBhBOEkEAYbPG9WzoN9U4uqa5FWW1d968XzuqrUCLEcPlxE-dn5SIkeOpUilxyVhwCkTpEgdHyZG69wVGBXJ935zlI0pa9BoCHVs,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjw27mhBhBOEkEAYbPG9WzoN9U4uqa5FWW1d968XzuqrUCLEcPlxE-dn5SIkeOpUilxyVhwCkTpEgdHyZG69wVGBXJ935zlI0pa9BoCHVs,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/11/2023 8:10:23,Returning user,0b05e394,AU,55,5,261,Phone,390 X 675,Instagram,Ios,,https://WEBSITE-NAME.com.au/products/HANDLELINK,https://WEBSITE-NAME.com.au/collections/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/10/2023 5:28:43,Returning user,cb19c3da,AU,43,6,225,Phone,393 X 657,Safari,Ios,,https://WEBSITE-NAME.com.au/,https://WEBSITE-NAME.com.au/collections/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/20/2023 20:24:23,New user,0ecb0c32,PK,13,1,57,Phone,393 X 660,Safari,Ios,,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjwov6hBhBBEkEAG9sIi-yIAA3C0iupU_Wknsddn2ou4eYKcUD52nO5xRRTC_HtawIX7Y9EDKMZ8wZ2iXY698VZgNEu4dltTHNGLhoC1pQ,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjwov6hBhBBEkEAG9sIi-yIAA3C0iupU_Wknsddn2ou4eYKcUD52nO5xRRTC_HtawIX7Y9EDKMZ8wZ2iXY698VZgNEu4dltTHNGLhoC1pQ,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/20/2023 20:05:27,New user,426c1a4e,BH,9,1,55,Phone,393 X 661,Chrome,Ios,,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjwov6hBhBBEkEAG9sIi-R_4wGwlzAiOzGnwNLLViCxZrq1DtmKSnZ9JAmdl-0vMqFSCYBawYGYcgdM1iBJz9IXEoTCz8U6xIdp3hoCrV0,https://WEBSITE-NAME.com.au/?wbraid=ClEKCAjwov6hBhBBEkEAG9sIi-R_4wGwlzAiOzGnwNLLViCxZrq1DtmKSnZ9JAmdl-0vMqFSCYBawYGYcgdM1iBJz9IXEoTCz8U6xIdp3hoCrV0,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/22/2023 22:42:02,New user,7920d519,IQ,6,2,31,Phone,393 X 663,Miuibrowser,Android,,https://WEBSITE-NAME.com.au/?gclid=Cj0KCQjwi46iBhDyARIsAE3nVrZnQcxtD16cFknjL0X6fjfHq3xMPf_DdQx99cYfcSli9XceU-DMnwUaAr2DEALw_wcB,https://WEBSITE-NAME.com.au/pages/top-ten-reasons,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,5/4/2023 23:01:06,New user,380b1f42,IQ,2,1,33,Desktop,393 X 663,Miuibrowser,Linux,,https://WEBSITE-NAME.com.au/?gclid=Cj0KCQjwr82iBhCuARIsAO0EAZzdRHkMbK-9k3omSxu_uTKWWxWUdlxkG4llLytHVoIZTJMFyj27uV4aAijUEALw_wcB,https://WEBSITE-NAME.com.au/?gclid=Cj0KCQjwr82iBhCuARIsAO0EAZzdRHkMbK-9k3omSxu_uTKWWxWUdlxkG4llLytHVoIZTJMFyj27uV4aAijUEALw_wcB,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/27/2023 9:07:32,Returning user,7f53fda7,AU,16,3,62,Phone,393 X 665,Chrome,Ios,,https://WEBSITE-NAME.com.au/,https://WEBSITE-NAME.com.au/collections/HANDLELINK,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
https://insights.hotjar.com/r?site=XXXXXXXX&recording=XXXXXX,FALSE,FALSE,,,4/7/2023 18:35:13,New user,ef36c4e9,IQ,5,1,1354,Phone,393 X 669,Miuibrowser,Android,,https://WEBSITE-NAME.com.au/?gclid=Cj0KCQjw_r6hBhDdARIsAMIDhV-m7ePrIE-B18IGU2TaASsy6QCOl5_DezAgQMvBj68iure-DO1phaYaAhFjEALw_wcB,https://WEBSITE-NAME.com.au/?gclid=Cj0KCQjw_r6hBhDdARIsAMIDhV-m7ePrIE-B18IGU2TaASsy6QCOl5_DezAgQMvBj68iure-DO1phaYaAhFjEALw_wcB,Only available on Hotjar Business,Only available on Hotjar Business,N/A,N/A,Only available on Hotjar Plus
