,userID,date_AEST,distance,enhanced_avg_speed,avg_power,avg_wpkg,avg_heart_rate,avg_max_heart_rate_perct,enhanced_duration,weekend,day_of_week,hour,day_cat
90,U1000010,2021-09-01,39.65,23.1,159.01,1.85,126.63,0.74,01:42:59,False,4,5,MORNING
91,U1000010,2021-09-08,47.57,23.42,146.69,1.71,127.83,0.75,02:01:53,False,4,5,MORNING
92,U1000010,2021-09-15,38.09,22.79,150.46,1.75,120.17,0.71,01:40:17,False,4,5,MORNING
93,U1000010,2021-10-06,45.15,23.02,147.7,1.72,126.72,0.75,01:57:40,False,4,5,MORNING
94,U1000010,2021-10-13,36.81,23.7,157.97,1.84,128.71,0.76,01:33:12,False,4,5,MORNING
95,U1000010,2021-10-20,38.18,22.97,149.56,1.74,129.43,0.76,01:39:45,False,4,5,MORNING
96,U1000010,2021-10-27,38.93,23.16,161.4,1.88,124.76,0.73,01:40:51,False,4,5,MORNING
97,U1000010,2022-01-26,42.88,24.39,162.29,1.89,124.99,0.74,01:45:30,False,4,5,MORNING
98,U1000000,2021-04-01,62.8,28.52,213.29,2.67,139.29,0.73,02:12:08,False,5,5,MORNING
99,U1000000,2021-06-17,64.96,28.96,209.91,2.62,102.41,0.54,02:14:35,False,5,5,MORNING
100,U1000000,2021-07-01,76.6,28.6,226.24,2.83,103.41,0.54,02:40:42,False,5,5,MORNING
101,U1000000,2021-09-23,43.61,34.11,247.32,3.09,164.52,0.87,01:16:43,False,5,5,MORNING
102,U1000000,2022-11-17,45.97,32.67,227.17,2.84,160.28,0.84,01:24:26,False,5,5,MORNING
103,U1000003,2022-09-01,40.05,32.93,266.21,3.29,171.55,0.9,01:12:58,False,5,5,MORNING
104,U1000003,2022-09-08,54.59,35.26,293.9,3.63,169.79,0.89,01:32:53,False,5,5,MORNING
105,U1000003,2022-09-15,54.24,35.15,285.41,3.52,168.68,0.89,01:32:36,False,5,5,MORNING
106,U1000003,2022-09-22,62.32,29.29,220.89,2.73,146.02,0.77,02:07:40,False,5,5,MORNING
107,U1000003,2022-09-29,41.96,31.18,241.05,2.98,162.1,0.85,01:20:44,False,5,5,MORNING
108,U1000003,2022-10-06,3.31,22.02,150.7,1.86,107.08,0.56,00:09:01,False,5,5,MORNING
109,U1000003,2022-10-20,42.06,32.94,259.77,3.21,160.1,0.84,01:16:37,False,5,5,MORNING
110,U1000003,2022-10-27,42.67,32.32,267.05,3.3,167.45,0.88,01:19:13,False,5,5,MORNING
111,U1000003,2022-11-03,40.21,31.25,354.18,4.37,161.76,0.85,01:17:12,False,5,5,MORNING
112,U1000003,2022-11-17,42.47,33.14,254.47,3.14,161.61,0.85,01:16:54,False,5,5,MORNING
113,U1000003,2022-11-24,42.34,32.39,248.4,3.07,160.72,0.85,01:18:26,False,5,5,MORNING
114,U1000004,2022-02-10,33.62,34.44,217.01,2.93,162.76,0.86,00:58:34,False,5,5,MORNING
115,U1000004,2022-04-07,34.49,29.57,201.5,2.72,148.0,0.78,01:09:59,False,5,5,MORNING
116,U1000004,2022-05-12,34.55,30.84,182.02,2.46,138.18,0.73,01:07:13,False,5,5,MORNING
117,U1000004,2022-06-02,34.44,29.89,161.58,2.18,136.57,0.72,01:09:08,False,5,5,MORNING
118,U1000004,2022-07-21,37.37,29.56,157.85,2.13,145.63,0.77,01:15:51,False,5,5,MORNING
119,U1000004,2022-09-22,62.31,27.75,169.54,2.29,125.71,0.66,02:14:43,False,5,5,MORNING
120,U1000008,2022-03-10,50.05,30.54,179.16,2.8,156.85,0.78,01:38:20,False,5,5,MORNING
121,U1000008,2022-03-24,43.36,32.05,116.15,1.81,154.75,0.77,01:21:11,False,5,5,MORNING
122,U1000009,2021-07-15,46.38,25.73,225.06,1.91,142.06,0.78,01:48:09,False,5,5,MORNING
123,U1000009,2021-07-22,47.11,28.16,232.44,1.97,141.89,0.78,01:40:23,False,5,5,MORNING
124,U1000009,2021-08-05,47.2,26.98,223.87,1.9,144.6,0.8,01:44:58,False,5,5,MORNING
125,U1000009,2021-08-12,46.96,26.72,233.84,1.98,141.08,0.78,01:45:26,False,5,5,MORNING
126,U1000009,2021-08-19,46.92,28.25,233.55,1.98,151.45,0.83,01:39:39,False,5,5,MORNING
127,U1000009,2021-08-26,47.36,29.12,241.58,2.05,144.86,0.8,01:37:35,False,5,5,MORNING
128,U1000009,2021-09-02,50.06,24.67,237.86,2.02,144.14,0.79,02:01:45,False,5,5,MORNING
129,U1000009,2021-09-16,43.41,25.31,247.49,2.1,144.63,0.8,01:42:55,False,5,5,MORNING
130,U1000009,2021-09-23,47.61,24.36,244.14,2.07,142.23,0.78,01:57:15,False,5,5,MORNING
131,U1000009,2021-10-21,42.73,26.63,263.91,2.24,141.85,0.78,01:36:16,False,5,5,MORNING
132,U1000009,2021-10-28,42.09,26.5,276.13,2.34,143.32,0.79,01:35:18,False,5,5,MORNING
133,U1000009,2021-11-04,1.01,17.79,228.84,1.94,97.99,0.54,00:03:25,False,5,5,MORNING
134,U1000009,2021-11-18,47.41,29.38,236.54,2.0,128.79,0.71,01:36:49,False,5,5,MORNING
135,U1000009,2021-11-25,47.42,29.44,210.19,1.78,126.69,0.7,01:36:39,False,5,5,MORNING
